Name,Symbol,ISIN,WKN,Exchange,UsSymbol
"AAON INC. DL-,004",AAO,US0003602069,894255,XFRA,AAON
AAP IMPLANTATE AG O.N.,AAQ1,DE000A3H2101,A3H210,XETR,
AAR,ARZ,US0003611052,862821,XFRA,AIR
Aareal Bank AG,ARL,DE0005408116,540811,XETR,
AAREAL BK AG UNSP.ADR 1,ARLB,US00254K1088,A14NAH,XFRA,AAALY
"AB DYNAMICS PLC LS -,01",6DY,GB00B9GQVG73,A1W36D,XFRA,
AB InBev SA-NV (Anheuser-Busch InBev),1NBA,BE0974293251,A2ASUV,XETR,
AB Science S.A.,A8D,FR0010557264,A1CXBG,XFRA,
ABACUS MNG,DGV2,CA0025555065,A2DQ4Z,XFRA,
ABACUS PROPERTY GRP UTS,EZO,AU000000ABP9,813933,XFRA,
ABAXX TECHNOLOGIES INC.,36N0,CA00258V1004,A2QJS6,XFRA,
ABB Ltd.,ABJ,CH0012221716,919730,XETR,
ABB Ltd. ADR,ABJA,US0003752047,675089,XFRA,ABB
ABB PAR AB B ADR/1/2/SK 1,ALZ,US0453871073,A0YGQM,XFRA,ASAZY
"ABBEY(AS.G.HLD.C.) EO-,32",DOY0,IE00BL96WS76,A2QLN9,XFRA,
Abbott Laboratories,ABL,US0028241000,850103,XETR,ABT
AbbVie Inc.,4AB,US00287Y1091,A1J84E,XETR,ABBV
"ABC ARBITRAGE POR.EO-,016",9BA,FR0004040608,924061,XFRA,
ABC TECHNOLOGIES HOLDINGS,9DK,CA00076T1057,A2QQ8S,XFRA,
ABC-MART,5B8,JP3152740001,580665,XFRA,
Abcam PLC,A8C1,GB00B6774699,A1C605,XFRA,
ABCAM PLC SP.ADR 1 LS-002,A8C3,US0003802040,A2QFYM,XFRA,ABCM
ABCELLERA BIOLOGICS,8QQ,CA00288U1066,A2QKXS,XFRA,
Abcourt Mines Inc. Class B,AML,CA00288E3005,862198,XFRA,
ABEN RESOURCES LTD,E2L2,CA00289T3064,A14YFB,XFRA,
"ABENGOA YIELD PLC DL -,10",AY3,GB00BLP5YB54,A116CH,XFRA,
"ABEO S.A. EO -,75",4A8,FR0013185857,A2ASR9,XFRA,
"ABEONA THERAPEUT. DL-,01",PCJP,US00289Y1073,A14VK7,XFRA,ABEO
"ABER.AS.PAC. DL-,01",9J9,US0030091070,872046,XFRA,FAX
"ABER.STAN.EUR.LOG. LS-,01",5JX,GB00BD9PXH49,A2H9XM,XFRA,
Abercrombie & Fitch,AFT,US0028962076,903016,XETR,ANF
ABERDEEN INTL INC.,A8H,CA0030691012,A0HG70,XFRA,
ABERFORTH SM.COS TR.LS-01,0KJ,GB0000066554,904647,XFRA,
"ABG SUND.COL.HLD.A NK-,23",DAB,NO0003021909,882240,XFRA,
"ABIOMED INC. DL-,01",AIO,US0036541003,873886,XFRA,AIO
"ABIVAX SA EO -,01",2X1,FR0012333284,A14UQC,XFRA,
ABM INDS.,AB4,US0009571003,857218,XFRA,ABM
ABN AMRO Group N.V.,AB2,NL0011540547,A143G0,XFRA,
ABO WIND AG O.N.,AB9,DE0005760029,576002,XETR,
ABRASILV. RES.CORP. O.N.,1AH0,CA00379L1067,A2QQ2A,XFRA,
"ABRAXAS PET. CORP. DL-,01",AXOA,US0038303048,A2QFUG,XFRA,AXAS
ABSA GROUP LTD. RC 2,AU61,ZAE000255915,A2JE9V,XFRA,
ABSOLUTE SOFTWARE CORP.,OU1,CA00386B1094,A0B9RG,XFRA,
"AC IMMUNE SA SF-,02",IMR,CH0329023102,A2AR5F,XFRA,
ACACIA RESEARCH CORP.,AZG2,US0038813079,164631,XFRA,ACTG
ACADEMEDIA AB,V8T,SE0007897079,A2ALUM,XFRA,
ACADEMY METALS INC.,UJN3,CA00401G1090,A2PQLB,XFRA,
"ACADIA HEALTHCARE DL-,01",7RA,US00404A1097,A1JNMF,XFRA,ACHC
Acadia Pharmaceuticals Inc.,DR6,US0042251084,603035,XFRA,ACAD
Acadia Realty Trust,WX1,US0042391096,985331,XFRA,AKR
ACANTHE DEVELOPPEM. O.N.,ADX,FR0000064602,592453,XFRA,
ACARIX AB,7AC,SE0009268717,A2DJR2,XFRA,
ACASTI PHARMA INC.,A1PA,CA00430K4028,A141DB,XFRA,
ACCELERATE DIAGNOSTICS,1A8,US00430H1023,A1KA68,XFRA,AXDX
Acceleron Pharma Inc.,0A3,US00434H1086,A1W5LE,XFRA,XLRN
"ACCELL GRP NV CVA EO-,01",AO1B,NL0009767532,A1JADL,XETR,
ACCENT GROUP LTD,RJD,AU000000AX19,A2H8VQ,XFRA,
ACCENT RES N.L.,A2R,AU000000ACS1,A0ETE6,XFRA,
Accentro Real Estate AG,A4Y,DE000A0KFKB3,A0KFKB,XETR,
Accenture Ltd.,CSA,IE00B4BNMY34,A0YAQA,XFRA,
"ACCESSO TECHNOL.GP LS-,01",LQG,GB0001771426,914199,XFRA,
ACCIONA S.A.,AJ3,ES0125220311,865629,XFRA,
"ACCO BRANDS DL-,01",A3B,US00081T1088,A0F7D1,XFRA,ACCO
"ACCOLADE INC. DL-,0001",4NE1,US00437E1029,A2P7Z2,XFRA,ACCD
ACCONEER AB,2LU,SE0010546242,A2H9T4,XFRA,
Accor S.A.,ACR,FR0000120404,860206,XFRA,
ACCOR SP.ADR NEW 1/5/O.N,ACR1,US00435F3091,A14PXZ,XFRA,ACCYY
"ACCROL GROUP HLDGS -,001",0AE,GB00BZ6VT592,A2ALXJ,XFRA,
"ACCSYS TECH.PLC EO -,05",1D8,GB00BQQFX454,A12A7G,XFRA,
"ACCURAY INC. DL -,001",XEJ,US0043971052,A0MKWM,XFRA,ARAY
ACE HARDWARE INDONESIA,4AH1,ID1000125503,A1J7PD,XFRA,
ACE Ltd.,AEX,CH0044328745,A0Q636,XFRA,
"ACEA S.P.A. EO 5,16",DCA,IT0001207098,924293,XFRA,
AcelRx Pharmaceuticals Inc.,R5X,US00444T1007,A1H64B,XFRA,ACRX
ACER INC. GDR REG. S/5,AC5G,US0044342055,552863,XFRA,ACEYY
"ACER THERAPEUTICS DL,0001",P6NA,US00444P1084,A2DYQV,XFRA,ACER
ACERINOX,ACE1,ES0132105018,A0B7GP,XFRA,
ACERUS PHARMACEUTICALS,3TP,CA00444G1081,A14Z7X,XFRA,
"ACHETER-LOUER.FR EO -,01",2ZT,FR0010493510,A0RMN6,XFRA,
ACHIEVE LIFE SCIE. DL-001,SP4P,US0044685008,A2QAR3,XFRA,ACHV
"ACHIKO AG SF -,01",4ZI,CH0522213468,A2P67W,XFRA,
"ACI WORLDWIDE INC.DL-,005",TSA,US0044981019,A0MXU1,XFRA,ACIW
ACKERMANS & VAN HAAREN,B3K,BE0003764785,869057,XFRA,
ACKROO INC.,3CKN,CA00461T2074,A12GGC,XFRA,
ACLARIS THERAPEUTICS DL 1,8AT,US00461U1051,A1412H,XFRA,ACRS
"ACM RESEARCH CL.A -,0001",813,US00108J1097,A2H62F,XFRA,ACMR
ACMA LTD,AAX1,SG1BB6000006,A14T4V,XFRA,
"ACME UTD CORP. DL 2,50",UT1,US0048161048,901247,XFRA,ACU
Acom Co. Ltd.,AK5,JP3108600002,887795,XFRA,
"ACORDA THERAP.NEW DL-,001",CDG0,US00484M6012,A2QLBW,XFRA,ACOR
ACOUSORT AB O.N.,4SA,SE0009189608,A2DJ2K,XFRA,
ACREAGE HLDGS INC.CL.D SV,0VZ2,CA00489Y7090,A2QDYQ,XFRA,
ACREAGE HLDGS INC.CL.E SV,0VZ1,CA00489Y6001,A2QDYP,XFRA,
"ACRES COM.RE.CORP.DL-,001",R9L,US00489Q1022,A2QQP7,XFRA,ACR
ACRINOVA AB A,9M0,SE0015660014,A2QQW1,XFRA,
ACRINOVA AB B,9M00,SE0015660030,A2QQFC,XFRA,
ACROUD AB,7NG,SE0001863291,A12CM6,XFRA,
ACROW FORMW.+CONSTR.S.LTD,59Y,AU0000006124,A2JHF9,XFRA,
ACRUX LTD.,FJY,AU000000ACR3,A0B8LR,XFRA,
"ACS, Act.de Constr.y Serv. SA",OCI1,ES0167050915,A0CBA2,XFRA,
"ACTIA GROUP SA INH.EO-,75",AG9,FR0000076655,564723,XFRA,
ACTIC GROUP AB CLA,8XA,SE0009269467,A2DPY8,XFRA,
"ACTINIUM PHARMAC. DL-,001",7AY1,US00507W2061,A2QA48,XFRA,ATNM
ACTINOGEN MEDICAL LTD.,3AC,AU000000ACW3,A0MZH8,XFRA,
"ACTIPLAY GROUPE EO -,20",4YA,FR0011038348,A1JFY3,XFRA,
ACTIVE BIOTECH,BTPC,SE0001137985,A0BLFX,XFRA,
"ACTIVE ENER.GRP LS-,0001",BZHA,GB00B1YMN108,A0MUKN,XFRA,
ACTIVIA PROPERT.INC. REIT,7ZY,JP3047490002,A1JZC3,XFRA,
Activision Blizzard Inc.,AIY,US00507V1098,A0Q4K4,XETR,ATVI
"ACTUAL EXPERIENCE LS-,20",9F8,GB00BJ05QC14,A1XEDE,XFRA,
ACUITY BRANDS,AQ8,US00508Y1029,813307,XFRA,AYI
ACUITYADS HOLDING INC.,K3S,CA00510L1067,A2AN2K,XFRA,
"ACUSHNET HLDGS.CORP -,001",163,US0050981085,A2ATTR,XFRA,GOLF
ad pepper media International N.V.,APM,NL0000238145,940883,XETR,
"AD.BIOTECH.CORP. DL-,0001",1HM,US00650F1093,A2PLR5,XETR,ADPT
ADACEL TECHS LTD.,QD2,AU000000ADA7,936990,XFRA,
ADAGENE INC. SP.ADR,978,US0053291078,A2QN45,XFRA,ADAG
ADAIRS LTD,1FQ,AU000000ADH2,A14TNC,XFRA,
"ADAMAS PAHRMACEUT.DL-,001",136,US00548A1060,A111X7,XFRA,136
ADAMERA MINLS,AQM,CA00547Y1051,A1KDAV,XFRA,
ADAMIS PHARMACEUTIC.CORP.,CY3B,US00547W2089,A1XA2F,XFRA,ADMP
"ADAMS RES. EN. INC.DL-,10",5QT,US0063513081,865676,XFRA,AE
ADAPTEO OYJ,ADO,FI4000383898,A2PMPE,XFRA,
"ADAPTH.TH.SP.ADR6 LS-,001",473A,US00653A1079,A14SUX,XFRA,ADAP
Adaro Energy Tbk PT,A64,ID1000111305,A0Q51G,XFRA,
ADASTRA LABS HOLDINGS LTD,D2EP,CA00653U1030,A2PXHF,XFRA,
ADASTRIA CO. LTD.,1E0,JP3856000009,591228,XFRA,
AdCapital AG,ADC,DE0005214506,521450,XFRA,
ADCORE INC. O.N.,ADQ,CA00654B1040,A2QAL1,XFRA,
ADD NEW EN.INV.HLDGS,Z4RN,KYG0112P1028,A2APZE,XFRA,
ADDEX THERAPEUTICS ADR/6,APE0,US00654J1079,A2QKH7,XFRA,ADXN
ADDEX THERAPEUTICS SF 1,APE,CH0029850754,A0MSH6,XFRA,
ADDIKO BANK AG INH.,ZYE1,AT000ADDIKO0,A2PMK5,XFRA,
ADDLIFE AB B,1AD1,SE0014401378,A2P4TH,XFRA,
"ADDNODE GROUP AB SK 12,-",AR7B,SE0000472268,925488,XFRA,
"ADDTECH AB B SK 0,1875",AZZ2,SE0014781795,A2QEPD,XFRA,
Addus HomeCare Corp.,A41,US0067391062,A0YBKM,XFRA,ADUS
"ADDVALUE TECHNOL. SD-,025",DDU,SG1I67883666,502261,XFRA,
ADECCO GRP AG ADR 1/2/SF1,ADIA,US0067542045,A0YGQE,XFRA,AHEXY
Adecco S.A.,ADI1,CH0012138605,922031,XFRA,
Adecoagro S.A.,ACD,LU0584671464,A1H63F,XFRA,
Adelaide Brighton Ltd.,GHO,AU000000ABC7,866475,XFRA,
ADES INTL HLDG PLC VE 1,9HA,AEDFXA1EN018,A2DRV4,XFRA,
adesso SE,ADN1,DE000A0Z23Q5,A0Z23Q,XETR,
ADEVINTA ASA NK1,AD5B,NO0010844038,A2PE65,XFRA,
ADF GRP INC. SV,4QM,CA00089N1033,189900,XFRA,
ADHI KARYA PERSERO RP 100,KM6,ID1000097207,A0B9TP,XFRA,
"ADICET BIO INC. DL -,0001",1IJA,US0070021086,A2QESQ,XFRA,ACET
adidas AG,ADS,DE000A1EWWW0,A1EWWW,XETR,
ADIDAS AG ADR 1/2/O.N.,ADS1,US00687A1079,A0MNCC,XFRA,ADDYY
"ADIENT PLC DL-,001",18I,IE00BD845X29,A2AT0H,XETR,
ADLER Group S.A.,ADJ,LU1250154413,A14U78,XETR,
Adler Modemärkte AG,ADD,DE000A1H8MU2,A1H8MU,XETR,
ADLER Real Estate AG,ADL,DE0005008007,500800,XETR,
"ADM ENERGY PLC LS-,01",P4JC,GB00BJFDXW97,A2PLC1,XETR,
ADM Hamburg AG,OEL,DE0007269003,726900,XFRA,
"ADMIE IPTO HLDG EO 2,12",08M,GRS518003009,A2DTKD,XFRA,
Admiral Group PLC,FLN,GB00B02J6398,A0DJ58,XFRA,
ADMIRALTY RES,AHS,AU000000ADY7,A0B9TU,XFRA,
Adobe Systems Inc.,ADB,US00724F1012,871981,XETR,ADBE
Adocia SAS,A89,FR0011184241,A1JTC2,XFRA,
"ADOMOS S.A. EO-,02",Y2A,FR0013247244,A2DP3D,XFRA,
ADP,W7L,FR0010340141,A0J2WM,XFRA,
ADRIATIC METALS LS-013355,3FNA,GB00BL0L5G04,A2PW0G,XFRA,
ADRIATIC METALS PLC CDIS,3FN,AU0000004772,A2JMMA,XFRA,
"ADT INC. DL-,01",541,US00090Q1031,A2JBN6,XFRA,ADT
"ADTALEM GLOB.EDUC. DL-,01",DVY,US00737L1035,A2DSHL,XFRA,ATGE
"ADTHINK EO -,3",91R,FR0010457531,A0NF06,XFRA,
"ADTIGER CORP.LTD.DL-,0005",55U,KYG009701064,A2P9D1,XFRA,
ADTRAN,ATN,US00738A1060,892015,XFRA,ADTN
ADV.BLOCKCHAIN AG INH ON,BWQ,DE000A0M93V6,A0M93V,XETR,
ADV.INFO SERV.-NVDR- BA 1,NVAA,TH0268010R11,676018,XFRA,
ADVA Optical Networking SE,ADV,DE0005103006,510300,XETR,
Advance Auto Parts Inc.,AWN,US00751Y1064,982516,XFRA,AAP
ADVANCE ENERGY PLC O.N.,BZPA,IM00BZ7PNY71,A2NB44,XFRA,
Advanced Drainage Systems Inc.,6DA,US00790R1041,A117FL,XFRA,WMS
ADVANCED EMISS. SOL.,OXQ1,US00770C1018,A1W1ZU,XFRA,ADES
Advanced Energy Inds Inc.,AVX,US0079731008,898006,XFRA,AEIS
ADVANCED INFO S.-FGN-BA 1,AISF,TH0268010Z11,889577,XFRA,
ADVANCED MED.SO.GRP LS-05,AQA,GB0004536594,905598,XFRA,
Advanced Micro Devices Inc. ,AMD,US0079031078,863186,XETR,AMD
"ADVANCED ONCOTHER. LS-,25",R3I1,GB00BD6SX109,A2AL9X,XFRA,
ADVANCED PROTEOME THERAP.,0E81,CA0076282098,A2PJ6N,XFRA,
ADVANCER GLOBAL LTD,851,SG1CJ7000006,A2ANVZ,XFRA,
ADVANEX INC.,DCV,JP3213400009,869190,XFRA,
"ADVANSIX INC. DL-,01",960,US00773T1016,A2ARPX,XFRA,ASIX
Advantage Oil & Gas Ltd.,9SA,CA00765F1018,A0NGHT,XFRA,
"ADVANTAGE SOLUT. DL-,0001",6CPA,US00791N1028,A2QGPW,XFRA,ADV
ADVANTAGEWON OIL CORP.,AD30,CA00775L2057,A2QJTG,XFRA,
ADVANTEST ADR NEW/1 O.N.,VANA,US00762U2006,A0KE8F,XFRA,ATEYY
Advantest Corp.,VAN,JP3122400009,868805,XFRA,
ADVANTEX MARKETING INTL,1CX,CA00756J1049,934389,XFRA,
"ADVAXIS INC. DL-,01",FAD2,US0076243072,A2PGJ3,XFRA,ADXS
ADVENICA AB,65R,SE0006219473,A2AEHV,XFRA,
ADVENTURE BOX TECHNOLOGY,799,SE0012955276,A2PV9J,XFRA,
ADVENTUS MNG CORP.,AZC,CA00791E1025,A2PL3X,XFRA,
ADVERITAS LTD,4TM,AU0000033946,A2PASM,XFRA,
"ADVERUM BIOTECHS DL-,0001",AVU,US00773U1088,A2AJW8,XFRA,ADVM
"ADVICENNE (PROM.) EO-,20",3MM,FR0013296746,A2H8SU,XFRA,
ADWAYS INC.,A02,JP3121970002,A0M7G6,XFRA,
ADX Energy Ltd.,GHU,AU000000ADX9,875366,XFRA,
Adyen,1N8,NL0012969182,A2JNF4,XETR,
"ADYEN NV UNSP.ADR/0,02",1N8U,US00783V1044,A2PZ8R,XFRA,ADYEY
ADYTON RESOURCES CORP.,701,CA00784W1014,A2QP8H,XFRA,
AECI,A7Z,ZAE000000220,863727,XFRA,
AECOM TECHNOLOGY,E6Z,US00766T1007,A0MMEV,XFRA,ACM
AECON GROUP,2AE,CA00762V1094,869161,XFRA,
AEDAS HOMES S.A. EO 1,1QK,ES0105287009,A2DXN6,XFRA,
AEDIFICA,AOO,BE0003851681,A0LCUN,XFRA,
"AEFFE S.P.A. EO -,25",3A1,IT0001384590,A0MW4X,XFRA,
AEGA ASA NK 1,82T,NO0010626559,A1JSJG,XFRA,
"AEGEAN AIRLINES EO -,65",32A,GRS495003006,A0MWBR,XFRA,
"AEGION CORP. A DL-,01",IT3A,US00770F1049,A1JM9L,XFRA,AEGN
AEGIRBIO AB,52Q,SE0014401121,A2P7ZC,XFRA,
Aegon N.V.,AEND,NL0000303709,A0JL2Y,XETR,
AEGON NV (ADR),AENF,US0079241032,873131,XETR,AEGN
"AEHR TEST SYSTEMS DL-,01",AYB,US00760J1088,908802,XFRA,AEHR
"AEMETIS INC. DL-,01",DW51,US00770K2024,A114CC,XFRA,AMTX
AENA S.A.,A44,ES0105046009,A12D3A,XFRA,
AENA SME UNSP.ADR/1/10,A440,US00774W1036,A2QHRM,XFRA,ANYYY
AENZA S.A.A ADR/5,GPAB,US00776D1037,A2QG9F,XFRA,AENZ
Aeon Co. Ltd.,JUS1,JP3388200002,863094,XFRA,
AEON FINANCIAL SERVICE CO,67J,JP3131400008,896037,XFRA,
AEON MALL CO. LTD.,9DH,JP3131430005,662293,XFRA,
AEON METALS LTD.,D6V1,AU000000AML5,A2ADL1,XFRA,
AEON STORES(HK)R.L.,AVK1,HK0000084183,A1JC1K,XFRA,
AEQUUS PHARMACEUTICALS,AEQ,CA0076361033,A2ASE5,XFRA,
"AERCAP HOLDINGS EO -,01",R1D,NL0000687663,A0LFB3,XFRA,
AERIE PHARMACEUTIC.DL-001,0P0,US00771V1089,A1W7RL,XFRA,AERI
AEROFLOT GDR,AETG,US69343R1014,A142TP,XFRA,
Aerojet Rocketdyne Hldgs Inc.,GCY,US0078001056,A14RBW,XFRA,AJRD
AEROPORTO GUG.MARCO.D.BO.,169,IT0001006128,A14WKT,XFRA,
"AEROVIRONMENT DL -,0001",JPX,US0080731088,A0MJX7,XFRA,AVAV
"AERPIO PHARMAC. DL-,0001",335,US00810B1052,A2PF28,XFRA,ARPO
AES Corp.,AES,US00130H1059,882177,XETR,AES
"AES CORP., THE",6AR0,US00130H2040,A2QRMQ,XFRA,
AEST.MED.INT.HLD.SP.ADR/3,3FMA,US00809M1045,A2PUP7,XFRA,AIH
AEterna Zentaris Inc.,ET82,CA0079754028,A1439Z,XFRA,
AETHER CATALYST SOLUT.,2QZ,CA00810C1032,A2PHAQ,XFRA,
"AETHLON MEDIC.NEW DL-,001",EJU,US00808Y3071,A2PTUU,XFRA,AEMD
AEVIS VICTORIA NA SF 1,G5LN,CH0478634105,A2PLW7,XFRA,
AEX GOLD INC.,2NQ,CA00108V1022,A2JNSU,XFRA,
"AF GRUPPEN ASA A NK 0,05",AF8,NO0003078107,569904,XFRA,
AF POEYRY AB B FRIA,B3Y1,SE0005999836,A115QU,XFRA,
AFARAK GROUP OYJ A,V5W,FI0009800098,918629,XFRA,
AFC AJAX,AJXA,NL0000018034,A0H0RS,XFRA,
"AFC ENERGY PLC LS -,001",QC8,GB00B18S7B29,A0MNJ0,XFRA,
Affiliated Managers Group Inc.,AFS,US0082521081,910682,XFRA,AMG
"AFFIMED N.V. EO-,01",A28,NL0010872420,A12BHU,XFRA,
"AFFINITY BANCSHS DL-,01",5610,US00832E1038,A2QMWU,XFRA,AFBI
AFFINITY METALS,34IA,CA00827Y1060,A2DMQW,XFRA,
AFFINOR GROWERS INC.,1AF,CA00830Q1081,A115DJ,XFRA,
"AFG ARBONIA-FOR.NA.SF4,20",ANGA,CH0110240600,A1CUXD,XETR,
"AFH FINL GRP PLC LS-,10",A0G,GB00B4W5WQ08,A11669,XFRA,
Aflac Inc.,AFL,US0010551028,853081,XETR,AFL
Africa Energy Corp.,H73,CA00830W1059,A14QAB,XFRA,
AFRICA OIL CORP.,AFZ,CA00829Q1019,A0MZJC,XFRA,
"AFRICA OPPORTUNITY DL-,01",4ZJ,KYG012921386,A2P64E,XFRA,
AFRICAN ENERGY RES.CUFS1,BP6,AU000000AFR6,A0MM09,XFRA,
AFRICAN GOLD GROUP INC.,3A61,CA00829A6016,A2PHHU,XFRA,
AFRICAN GOLD LTD,8XJ,AU0000036949,A2QKCE,XFRA,
African Rainbow Minerals Ltd,EB9,ZAE000054045,A0CAQD,XFRA,
AFRITIN MINING LTD,9IA,GG00BD95V148,A2H7EL,XFRA,
AFTERPAY LTD UNSP.ADR/1,2A61,US00832J1025,A2QGMT,XFRA,AFTPY
AFTERPAY LTD.,2A6,AU000000APT1,A2DT5A,XFRA,
"AFYA LTD. CL.A DL-,00005",1AY,KYG011251066,A2PM8D,XFRA,
AG GROWTH INTERNATIONAL,7AG,CA0011811068,A0RPJ0,XFRA,
